collection_id,loan_id,application_no,reason,reason desc
20096,2748,HEV-000810,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
20656,3088,HEV-000854,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
21042,2177,HEV-000883,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
21088,2204,HEV-000886,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
21589,3210,HEV-000923,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
21721,3257,HEV-000932,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
21877,3318,HEV-000945,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
21937,3360,HEV-000950,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
21979,3354,HEV-000955,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
22123,3404,HEV-000965,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
22141,3416,HEV-000966,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
22241,3450,HEV-000975,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
22283,3455,HEV-000978,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
22510,3596,HEV-Litfin-20,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
22936,2618,HEV-UP-22,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
22972,2621,HEV-UP-25,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
23280,2644,HEV-UP-52,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
23281,2644,HEV-UP-52,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
23282,2644,HEV-UP-52,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
23283,2644,HEV-UP-52,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
23385,2649,HEV-UP-59,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
23457,2655,HEV-UP-66,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
23469,2656,HEV-UP-67,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
23481,2730,HEV-UP-68,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
23485,2657,HEV-UP-69,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
23492,2657,HEV-UP-69,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
23523,2659,HEV-UP-71,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
